GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
02020001732,0,02,020,S,+61.1879345,17.32,Census Tract 17.32,-149.7334022,001732,G5020,2648434,00000000000000001cb8
02020001801,0,02,020,S,+61.1738815,18.01,Census Tract 18.01,-149.8482850,001801,G5020,1748055,00000000000000001d52
02020001802,0,02,020,S,+61.1755961,18.02,Census Tract 18.02,-149.8234986,001802,G5020,3159358,00000000000000001d44
02090001901,30842367,02,090,S,+64.9462925,19.01,Census Tract 19.01,-148.2784456,001901,G5020,2036814110,00000000000000001d33
02090001902,3578709,02,090,S,+65.0585830,19.02,Census Tract 19.02,-145.9256456,001902,G5020,8744774237,00000000000000001d30
02020002201,240341,02,020,S,+61.1864422,22.01,Census Tract 22.01,-149.9523881,002201,G5020,1884236,00000000000000001d4e
02020002202,0,02,020,S,+61.1885496,22.02,Census Tract 22.02,-149.9376008,002202,G5020,922187,00000000000000001d50
02020002301,218718249,02,020,S,+61.1648107,23.01,Census Tract 23.01,-150.1778033,002301,G5020,50814199,00000000000000001cca
02020002302,118037,02,020,S,+61.1648275,23.02,Census Tract 23.02,-149.9249333,002302,G5020,3761197,00000000000000001d40
02020002304,19798,02,020,S,+61.1469889,23.04,Census Tract 23.04,-149.9385064,002304,G5020,2409429,00000000000000001d1d
02020002305,0,02,020,S,+61.1474741,23.05,Census Tract 23.05,-149.9165514,002305,G5020,1774657,00000000000000001d1c
02020002501,0,02,020,S,+61.1593799,25.01,Census Tract 25.01,-149.8999659,002501,G5020,4577741,00000000000000001d51
02020002502,0,02,020,S,+61.1591025,25.02,Census Tract 25.02,-149.8716631,002502,G5020,5336434,00000000000000001d42
02020002601,0,02,020,S,+61.1517889,26.01,Census Tract 26.01,-149.8453936,002601,G5020,3752902,00000000000000001d46
02020002602,0,02,020,S,+61.1593438,26.02,Census Tract 26.02,-149.8197734,002602,G5020,2654859,00000000000000001d5d
02020002603,0,02,020,S,+61.1447415,26.03,Census Tract 26.03,-149.8192071,002603,G5020,2589138,00000000000000001cc6
02020002711,22604526,02,020,S,+61.1169139,27.11,Census Tract 27.11,-149.9425027,002711,G5020,7416312,00000000000000001cba
02020002712,0,02,020,S,+61.1285703,27.12,Census Tract 27.12,-149.8903535,002712,G5020,11535314,00000000000000001cb9
02020002713,52162550,02,020,S,+61.0933130,27.13,Census Tract 27.13,-149.8674820,002713,G5020,7766050,00000000000000001d17
02020002714,3087691,02,020,S,+61.1068953,27.14,Census Tract 27.14,-149.9079413,002714,G5020,4523928,00000000000000001d15
02020002811,0,02,020,S,+61.1303890,28.11,Census Tract 28.11,-149.8453664,002811,G5020,1978663,00000000000000001d5e
02020002812,0,02,020,S,+61.1254030,28.12,Census Tract 28.12,-149.8038803,002812,G5020,14813240,00000000000000001cc3
02020002813,54791,02,020,S,+61.1151320,28.13,Census Tract 28.13,-149.6161224,002813,G5020,85098532,00000000000000001d5f
02020002821,0,02,020,S,+61.1015721,28.21,Census Tract 28.21,-149.8226304,002821,G5020,3601953,00000000000000001d53
02020002822,0,02,020,S,+61.0948216,28.22,Census Tract 28.22,-149.7822679,002822,G5020,10861411,00000000000000001cc8
02020002823,10772478,02,020,S,+61.0532913,28.23,Census Tract 28.23,-149.7028091,002823,G5020,85707443,00000000000000001cc4
