mean,GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
460.79925912859414,13137000100,1433710,13,137,S,+34.6710504,1,Census Tract 1,-083.4024539,000100,G5020,144714717,00040000000000000fa7
229.51977567886664,13313000200,12359,13,313,S,+34.8244332,2,Census Tract 2,-084.8897018,000200,G5020,43540025,00040000000000001dba
431.37026548672566,13137000300,536491,13,137,S,+34.6051274,3,Census Tract 3,-083.5006059,000300,G5020,35949859,00040000000000000fa8
421.3040784718638,13137000400,794796,13,137,S,+34.5402935,4,Census Tract 4,-083.4700381,000400,G5020,74192099,00040000000000000fa9
273.12743972445463,13313000600,163718,13,313,S,+34.8354560,6,Census Tract 6,-085.0366172,000600,G5020,22452919,00040000000000001dc1
303.48480000000006,13313000700,12214,13,313,S,+34.7669948,7,Census Tract 7,-085.1009198,000700,G5020,95348555,00040000000000001dbf
271.4279279279279,13313000900,0,13,313,S,+34.7698649,9,Census Tract 9,-084.9878324,000900,G5020,5834385,00040000000000001db9
232.51265822784814,13313001000,0,13,313,S,+34.7718874,10,Census Tract 10,-084.9401770,001000,G5020,4070939,00040000000000001dcb
218.86830885836096,13313001100,42543,13,313,S,+34.7544218,11,Census Tract 11,-084.8875351,001100,G5020,27110157,00040000000000001dc0
223.07684563758383,13313001200,0,13,313,S,+34.7290150,12,Census Tract 12,-084.9325622,001200,G5020,38427629,00040000000000001db3
231.47865168539326,13313001300,0,13,313,S,+34.7565060,13,Census Tract 13,-084.9414267,001300,G5020,5744750,00040000000000001dbd
264.83064516129036,13313001400,82009,13,313,S,+34.7482893,14,Census Tract 14,-084.9872273,001400,G5020,7762107,00040000000000001dbb
224.7417475728155,13313001500,148819,13,313,S,+34.6695865,15,Census Tract 15,-084.9540471,001500,G5020,73041307,00040000000000001db2
270.6897287110052,13055010100,212903,13,055,S,+34.4832685,101,Census Tract 101,-085.2300027,010100,G5020,259546926,00040000000000000f6b
363.3172279792747,13213010100,60324,13,213,S,+34.9254861,101,Census Tract 101,-084.6849348,010100,G5020,196957195,00040000000000000fbd
337.14730217099225,13055010300,20878,13,055,S,+34.5160264,103,Census Tract 103,-085.4538293,010300,G5020,182428740,00040000000000000f6c
404.2507866582756,13213010300,5384465,13,213,S,+34.7188399,103,Census Tract 103,-084.7071455,010300,G5020,198806874,00040000000000000fbe
