mean,GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
2527.79338166563,08033000100,2716141,08,033,S,+37.7338227,1,Census Tract 1,-108.5062192,000100,G5020,2763958508,0002000000000000160c
2277.436255817211,08071000100,102855,08,071,S,+37.3139872,1,Census Tract 1,-104.7239281,000100,G5020,800423489,0002000000000000168e
2529.661054025515,08107000100,7603611,08,107,S,+40.6901258,1,Census Tract 1,-107.0120224,000100,G5020,2826474165,000200000000000016eb
1377.0787455516027,08087000100,17577609,08,087,S,+40.4103163,1,Census Tract 1,-103.8140035,000100,G5020,1323262587,00020000000000001729
1465.670138888889,08101000100,4876,08,101,S,+38.3050168,1,Census Tract 1,-104.6332234,000100,G5020,3436482,0002000000000000175c
1149.2981079145281,08099000100,2217570,08,099,S,+38.1798595,1,Census Tract 1,-102.6048147,000100,G5020,409873957,000200000000000017e5
2525.3987107790836,08037000100,6666917,08,037,S,+39.7782448,1,Census Tract 1,-106.8102656,000100,G5020,1404011697,000200000000000018b6
2730.4636892781364,08049000100,20272600,08,049,S,+40.0960460,1,Census Tract 1,-106.2929536,000100,G5020,2845207099,00020000000000001901
1521.1604938271605,08069000100,13645,08,069,S,+40.5863040,1,Census Tract 1,-105.0765889,000100,G5020,1844768,00020000000000001956
2569.9658498724916,08015000200,48075,08,015,S,+38.4813087,2,Census Tract 2,-106.0042061,000200,G5020,110219904,00020000000000001481
3041.945231743915,08093000200,307220,08,093,S,+39.3724165,2,Census Tract 2,-105.5000699,000200,G5020,435352549,00020000000000001513
1447.8353413654615,08101000200,189960,08,101,S,+38.2828389,2,Census Tract 2,-104.6371240,000200,G5020,2965767,000200000000000015c1
1974.5643349039503,08107000200,18884,08,107,S,+40.4775174,2,Census Tract 2,-107.2451173,000200,G5020,32768480,000200000000000016ea
1406.6678827545165,08087000200,14887388,08,087,S,+40.1694906,2,Census Tract 2,-104.0293307,000200,G5020,750564293,0002000000000000172b
1104.7984031936126,08099000200,169032,08,099,S,+38.0969763,2,Census Tract 2,-102.6195588,000200,G5020,6066165,00020000000000001733
2671.757692554763,08037000200,1311406,08,037,S,+39.5321964,2,Census Tract 2,-106.8800519,000200,G5020,375574272,000200000000000018b8
2021.2002599677858,08081000300,1773556,08,081,S,+40.5644916,3,Census Tract 3,-107.4825927,000300,G5020,420740762,0002000000000000144c
2939.7333377921937,08015000300,1068977,08,015,S,+38.6064382,3,Census Tract 3,-106.1624627,000300,G5020,1097876750,00020000000000001482
3439.3473855231096,08093000300,1212542,08,093,S,+39.2621420,3,Census Tract 3,-106.0641967,000300,G5020,282700246,00020000000000001516
2476.315645760398,08071000300,6221750,08,071,S,+37.1079319,3,Census Tract 3,-104.9553711,000300,G5020,1634036026,0002000000000000168c
2281.816750074931,08107000300,1070789,08,107,S,+40.3585588,3,Census Tract 3,-107.1531198,000300,G5020,1314158182,000200000000000016ec
1331.794397759104,08087000300,1664753,08,087,S,+40.2757054,3,Census Tract 3,-103.8845326,000300,G5020,41129336,00020000000000001730
1541.069579288026,08069000300,392197,08,069,S,+40.6038165,3,Census Tract 3,-105.1212844,000300,G5020,7089399,0002000000000000193f
1408.039145907473,08077000400,7826,08,077,S,+39.0850987,4,Census Tract 4,-108.5742215,000400,G5020,3556135,000200000000000013bb
3016.6776284290177,08093000400,14997447,08,093,S,+39.1743767,4,Census Tract 4,-105.8016486,000400,G5020,2394333385,00020000000000001517
2105.687700916775,08107000400,14499,08,107,S,+40.5043596,4,Census Tract 4,-106.9413569,000400,G5020,100176042,000200000000000016ed
2782.177966200059,08093000500,26358637,08,093,S,+38.8812413,5,Census Tract 5,-105.6157563,000500,G5020,2074279783,00020000000000001518
2201.697215902936,08107000500,52795,08,107,S,+40.4347424,5,Census Tract 5,-106.8771539,000500,G5020,110251037,000200000000000016e9
1457.2157534246576,08101000500,19348,08,101,S,+38.2953445,5,Census Tract 5,-104.6109375,000500,G5020,3534018,0002000000000000175b
3206.242847536376,08097000500,4804056,08,097,S,+39.2176140,5,Census Tract 5,-106.6821442,000500,G5020,1188520485,0002000000000000195d
1424.3016627078387,08123000600,93911,08,123,S,+40.4430580,6,Census Tract 6,-104.7043493,000600,G5020,4736002,000200000000000013c2
2055.2667350985416,08081000600,18029855,08,081,S,+40.6619040,6,Census Tract 6,-108.2045350,000600,G5020,11847273640,00020000000000001469
2728.1647058823523,08107000600,369369,08,107,S,+40.5029771,6,Census Tract 6,-106.7542996,000600,G5020,82751567,000200000000000016ee
1367.2299128156847,08087000600,111988,08,087,S,+40.1653090,6,Census Tract 6,-103.8707355,000600,G5020,293167992,0002000000000000172c
1108.4134195980143,08099000600,4785087,08,099,S,+37.9612659,6,Census Tract 6,-102.1449176,000600,G5020,1266298812,000200000000000017e6
3263.661089741196,08037000600,3773031,08,037,S,+39.4555868,6,Census Tract 6,-106.4583608,000600,G5020,643613921,000200000000000018b7
1296.0330833700925,08087000700,107346,08,087,S,+40.2500032,7,Census Tract 7,-103.6361538,000700,G5020,27487876,0002000000000000172a
