mean,GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
313.0844444444444,42073000100,17318,42,073,S,+41.0189798,1,Census Tract 1,-080.3364703,000100,G5020,2786346,000300000000000027e5
211.3968253968254,42049000100,0,42,049,S,+42.1261083,1,Census Tract 1,-080.0830208,000100,G5020,743089,00030000000000003645
312.2652329749104,42073000200,137288,42,073,S,+41.0035020,2,Census Tract 2,-080.3242637,000200,G5020,3190825,000300000000000027df
210.38123167155425,42049000200,1275192,42,049,S,+42.1192389,2,Census Tract 2,-080.1265598,000200,G5020,2693039,0003000000000000285c
297.5819209039548,42073000300,32944,42,073,S,+41.0091098,3,Census Tract 3,-080.3454699,000300,G5020,2170065,0003000000000000363d
197.14347826086959,42049000300,1003685,42,049,S,+42.1294598,3,Census Tract 3,-080.1061105,000300,G5020,1678492,00030000000000003643
193.915857605178,42049000400,1062776,42,049,S,+42.1448354,4,Census Tract 4,-080.0790268,000400,G5020,2552339,0003000000000000265e
276.40789473684214,42073000400,66318,42,073,S,+41.0054239,4,Census Tract 4,-080.3575769,000400,G5020,2655146,0003000000000000363e
207.5666666666667,42049000500,118774,42,049,S,+42.1390552,5,Census Tract 5,-080.0598340,000500,G5020,933695,00030000000000003647
297.36170212765956,42073000600,0,42,073,S,+41.0001206,6,Census Tract 6,-080.3350219,000600,G5020,542783,000300000000000027de
205.15172413793104,42049000600,696351,42,049,S,+42.1458128,6,Census Tract 6,-080.0515075,000600,G5020,2691700,00030000000000003648
287.58241758241763,42073000700,6342,42,073,S,+40.9926968,7,Census Tract 7,-080.3379703,000700,G5020,1047705,0003000000000000363f
215.0,42049000700,0,42,049,S,+42.1335014,7,Census Tract 7,-080.0658953,000700,G5020,721819,00030000000000003649
313.19075144508673,42073000800,0,42,073,S,+40.9852900,8,Census Tract 8,-080.3281148,000800,G5020,2157341,00030000000000003640
206.11111111111111,42049000800,0,42,049,S,+42.1300937,8,Census Tract 8,-080.0751467,000800,G5020,752095,0003000000000000364a
263.7916666666667,42073000900,43725,42,073,S,+40.9872206,9,Census Tract 9,-080.3474675,000900,G5020,1814058,00030000000000003641
279.80154639175254,42073001000,281291,42,073,S,+40.9785596,10,Census Tract 10,-080.3761280,001000,G5020,4387471,00030000000000003642
222.85185185185185,42049001000,0,42,049,S,+42.1180529,10,Census Tract 10,-080.1032815,001000,G5020,1274876,0003000000000000364b
237.39855072463763,42049001100,0,42,049,S,+42.1039005,11,Census Tract 11,-080.1150607,001100,G5020,3231043,0003000000000000364c
