mean,GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
184.1180904522613,51590000100,7824,51,590,S,+36.6296892,1,Census Tract 1,-079.3911149,000100,G5020,5119335,0004000000000000106e
281.448051948052,51690000100,23814,51,690,S,+36.7011623,1,Census Tract 1,-079.8562096,000100,G5020,7735308,00040000000000000749
333.98920863309354,51770000100,0,51,770,S,+37.2969246,1,Census Tract 1,-079.9890742,000100,G5020,3470124,0004000000000000074c
157.63820224719103,51590000200,133363,51,590,S,+36.6112668,2,Census Tract 2,-079.4043117,000200,G5020,5530949,00040000000000000724
267.8790931989924,51690000200,0,51,690,S,+36.6903443,2,Census Tract 2,-079.8868138,000200,G5020,5127561,00040000000000000747
155.27091633466136,51590000300,73409,51,590,S,+36.6046806,3,Census Tract 3,-079.3922073,000300,G5020,2988849,00040000000000000725
340.6072931276297,51770000300,4080,51,770,S,+37.3159639,3,Census Tract 3,-079.9656118,000300,G5020,8892989,0004000000000000074d
286.64935064935065,51690000300,0,51,690,S,+36.6845278,3,Census Tract 3,-079.8593123,000300,G5020,3834397,0004000000000000074e
160.8132075471698,51590000400,94987,51,590,S,+36.6105075,4,Census Tract 4,-079.3776383,000400,G5020,6645313,00040000000000000727
256.77906976744185,51690000400,0,51,690,S,+36.6753336,4,Census Tract 4,-079.8755591,000400,G5020,4315729,0004000000000000074f
323.79298245614035,51770000400,11735,51,770,S,+37.3148368,4,Census Tract 4,-079.9427541,000400,G5020,3594970,00040000000000000751
151.07327586206895,51590000500,240542,51,590,S,+36.5819725,5,Census Tract 5,-079.3874267,000500,G5020,2650292,00040000000000001031
241.65758091993186,51690000500,111764,51,690,S,+36.6555460,5,Census Tract 5,-079.8430619,000500,G5020,7361653,00040000000000000748
312.54861111111114,51770000500,0,51,770,S,+37.2949585,5,Census Tract 5,-079.9355886,000500,G5020,3543712,00040000000000000752
160.4102564102564,51590000600,130760,51,590,S,+36.5846598,6,Census Tract 6,-079.4003691,000600,G5020,1786232,00040000000000000726
161.76519337016578,51590000700,95669,51,590,S,+36.5770601,7,Census Tract 7,-079.4190468,000700,G5020,4460694,0004000000000000106b
155.3063186813187,51590000800,342353,51,590,S,+36.5915050,8,Census Tract 8,-079.4331374,000800,G5020,8932478,0004000000000000106d
181.4050445103858,51590000900,147775,51,590,S,+36.5536946,9,Census Tract 9,-079.4541399,000900,G5020,8183349,0004000000000000106f
325.83286908078,51770000900,544,51,770,S,+37.2846082,9,Census Tract 9,-079.9927741,000900,G5020,4492809,00040000000000000753
313.0444444444444,51770001000,64162,51,770,S,+37.2741220,10,Census Tract 10,-079.9700465,001000,G5020,2742722,00040000000000001089
162.29328621908124,51590001000,0,51,590,S,+36.5634704,10,Census Tract 10,-079.4162765,001000,G5020,3535346,00040000000000000728
151.80194805194807,51590001100,46966,51,590,S,+36.5659782,11,Census Tract 11,-079.3959599,001100,G5020,3870963,00040000000000001070
295.12048192771084,51770001100,909,51,770,S,+37.2709001,11,Census Tract 11,-079.9433201,001100,G5020,1044886,0004000000000000108a
170.05163043478262,51590001200,352995,51,590,S,+36.5518081,12,Census Tract 12,-079.3958745,001200,G5020,17370869,0004000000000000106c
298.2386363636364,51770001200,49681,51,770,S,+37.2618883,12,Census Tract 12,-079.9479190,001200,G5020,2208882,0004000000000000108b
170.73056653491432,51590001400,347859,51,590,S,+36.6015081,14,Census Tract 14,-079.4816223,001400,G5020,18520880,0004000000000000106a
303.2359550561798,51770001800,32872,51,770,S,+37.2624930,18,Census Tract 18,-079.9691018,001800,G5020,2224074,00040000000000001087
309.87606837606836,51770001900,56245,51,770,S,+37.2673190,19,Census Tract 19,-079.9845506,001900,G5020,2887199,00040000000000001088
321.13271028037394,51770002100,90172,51,770,S,+37.2565631,21,Census Tract 21,-080.0154969,002100,G5020,6683457,0004000000000000074b
325.01226993865026,51770002200,57053,51,770,S,+37.2847783,22,Census Tract 22,-080.0139517,002200,G5020,3990248,0004000000000000074a
322.55855855855856,51770002400,20763,51,770,S,+37.2922960,24,Census Tract 24,-079.9646832,002400,G5020,2805960,000400000000000010ac
294.35714285714283,51770002600,4386,51,770,S,+37.2740227,26,Census Tract 26,-079.9223169,002600,G5020,1580680,0004000000000000073d
290.8939393939393,51770002700,99810,51,770,S,+37.2646722,27,Census Tract 27,-079.9221170,002700,G5020,4032261,00040000000000001032
334.57413997627515,51770002800,210334,51,770,S,+37.2454514,28,Census Tract 28,-079.9255472,002800,G5020,10337610,00040000000000001052
358.8475409836067,51770002900,13127,51,770,S,+37.2326188,29,Census Tract 29,-079.9572186,002900,G5020,7586958,0004000000000000073f
318.9319727891157,51770003000,14911,51,770,S,+37.2437693,30,Census Tract 30,-079.9719965,003000,G5020,5526594,00040000000000001051
321.9777777777778,51770003100,0,51,770,S,+37.2526000,31,Census Tract 31,-079.9908962,003100,G5020,2776206,00040000000000000740
538.4685623173,51027010100,442865,51,027,S,+37.3510931,101,Census Tract 101,-082.0239556,010100,G5020,233620609,0004000000000000102e
421.13736625660954,51009010100,5707740,51,009,S,+37.6660454,101,Census Tract 101,-079.2039891,010100,G5020,690943848,00040000000000001053
356.12450331125825,51775010100,5765,51,775,S,+37.3029860,101,Census Tract 101,-080.0379082,010100,G5020,9440010,00040000000000001084
264.86012526096033,51089010100,12743,51,089,S,+36.7115405,101,Census Tract 101,-079.9180958,010100,G5020,12046468,00040000000000000739
615.9577528770444,51191010200,34243,51,191,S,+36.6369085,102,Census Tract 102,-082.2134657,010200,G5020,83076732,00040000000000000ffa
476.99725093468237,51027010200,675882,51,027,S,+37.4102101,102,Census Tract 102,-082.0933945,010200,G5020,225895785,0004000000000000102d
383.1775244299675,51775010200,17863,51,775,S,+37.2958826,102,Census Tract 102,-080.0811206,010200,G5020,7701465,00040000000000001085
277.4619076184763,51089010200,76480,51,089,S,+36.7211708,102,Census Tract 102,-079.8995910,010200,G5020,20867668,00040000000000000736
547.3037497452616,51027010300,278917,51,027,S,+37.2394036,103,Census Tract 103,-082.1954045,010300,G5020,122300518,00040000000000001030
328.39537869062895,51775010300,151733,51,775,S,+37.2819254,103,Census Tract 103,-080.0484803,010300,G5020,9501132,00040000000000001086
278.32322006472504,51089010300,897190,51,089,S,+36.7214552,103,Census Tract 103,-079.8143042,010300,G5020,92152691,00040000000000000738
595.2576160541585,51027010400,96198,51,027,S,+37.2752674,104,Census Tract 104,-082.0066103,010400,G5020,103086790,00040000000000000ff6
258.77877342979286,51143010400,1121342,51,143,S,+36.8062222,104,Census Tract 104,-079.5731368,010400,G5020,303761806,00040000000000001021
295.41214859437747,51089010400,463410,51,089,S,+36.7501736,104,Census Tract 104,-079.7103140,010400,G5020,174834030,0004000000000000073b
718.4277626487026,51027010500,162455,51,027,S,+37.2449099,105,Census Tract 105,-081.8313647,010500,G5020,173747544,00040000000000000ff7
225.47776536312853,51143010500,1539493,51,143,S,+36.8334644,105,Census Tract 105,-079.4072695,010500,G5020,166780189,00040000000000001024
236.2226186525057,51089010500,595975,51,089,S,+36.6009189,105,Census Tract 105,-079.7673655,010500,G5020,151811554,0004000000000000073a
630.722293438993,51027010600,848993,51,027,S,+37.1912863,106,Census Tract 106,-081.9915297,010600,G5020,213253283,00040000000000000ff8
238.52810113906622,51143010600,332809,51,143,S,+36.9106760,106,Census Tract 106,-079.3775856,010600,G5020,100092389,00040000000000001022
653.306795409,51191010700,549795,51,191,S,+36.8313251,107,Census Tract 107,-081.7790601,010700,G5020,137059102,00040000000000000ffe
634.7234963219388,51027010700,299140,51,027,S,+37.1167575,107,Census Tract 107,-082.0907330,010700,G5020,230482366,0004000000000000102f
285.5710152551288,51089010700,233350,51,089,S,+36.5837201,107,Census Tract 107,-079.9752725,010700,G5020,143886706,00040000000000000735
780.3854279677955,51191010800,1368469,51,191,S,+36.6829596,108,Census Tract 108,-081.7255530,010800,G5020,219171180,00040000000000000ffb
281.2594174757281,51089010800,372402,51,089,S,+36.6702243,108,Census Tract 108,-079.9211405,010800,G5020,31877252,00040000000000000733
677.9937716262975,51191010900,1006331,51,191,S,+36.6566033,109,Census Tract 109,-081.8360487,010900,G5020,107936615,00040000000000000ffd
