mean,GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
297.40000000000003,54069000200,1322838,54,069,S,+40.1164883,2,Census Tract 2,-080.6974429,000200,G5020,4388999,000300000000000009a2
271.10510510510505,54069000300,22151,54,069,S,+40.0895542,3,Census Tract 3,-080.7075208,000300,G5020,3960614,00030000000000000960
262.0896860986547,54069000400,936797,54,069,S,+40.0873067,4,Census Tract 4,-080.7197660,000400,G5020,1808956,00030000000000000961
236.35051546391753,54069000500,498906,54,069,S,+40.0770747,5,Census Tract 5,-080.7330212,000500,G5020,662601,00030000000000000987
231.45283018867926,54069000600,462056,54,069,S,+40.0635054,6,Census Tract 6,-080.7323414,000600,G5020,830665,00030000000000000988
273.1764705882353,54069000700,43013,54,069,S,+40.0738703,7,Census Tract 7,-080.7168595,000700,G5020,1345981,00030000000000000989
329.6882352941177,54069001300,0,54,069,S,+40.0427663,13,Census Tract 13,-080.7129383,001300,G5020,4144995,0003000000000000098a
267.9551282051282,54069001400,91827,54,069,S,+40.0676196,14,Census Tract 14,-080.6961132,001400,G5020,3597723,0003000000000000099b
292.69230769230774,54069001500,22458,54,069,S,+40.0853518,15,Census Tract 15,-080.6842947,001500,G5020,5952292,0003000000000000099e
308.59530791788853,54069001600,3235,54,069,S,+40.0686833,16,Census Tract 16,-080.6704923,001600,G5020,3962962,000300000000000009a0
289.8905109489051,54069001700,29389,54,069,S,+40.0582380,17,Census Tract 17,-080.6649155,001700,G5020,3298457,0003000000000000099f
297.3293556085919,54069001800,141879,54,069,S,+40.0424649,18,Census Tract 18,-080.6518557,001800,G5020,10105200,0003000000000000099c
333.9585529903654,54069002000,3223394,54,069,S,+40.1354613,20,Census Tract 20,-080.6544821,002000,G5020,62810479,0003000000000000099d
362.1620782726046,54069002100,120531,54,069,S,+40.1243059,21,Census Tract 21,-080.5789700,002100,G5020,88842260,0003000000000000099a
358.53992805755405,54069002200,252725,54,069,S,+40.0491792,22,Census Tract 22,-080.5723703,002200,G5020,66472437,000300000000000009a1
258.44736842105266,54069002600,932929,54,069,S,+40.0485109,26,Census Tract 26,-080.7265546,002600,G5020,1786626,000300000000000009a8
270.24528301886795,54069002700,167325,54,069,S,+40.0633775,27,Census Tract 27,-080.7225169,002700,G5020,1112281,0003000000000000098e
315.5148890092042,54103004900,2555956,54,103,S,+39.6683971,49,Census Tract 49,-080.8402509,004900,G5020,19799432,000300000000000009a5
296.5471204188482,54061010400,452971,54,061,S,+39.6587464,104,Census Tract 104,-079.9804752,010400,G5020,4248189,00030000000000000974
331.18487394957987,54061010700,22184,54,061,S,+39.6347781,107,Census Tract 107,-079.9367507,010700,G5020,2772472,0003000000000000096e
349.0860573715811,54061010800,879270,54,061,S,+39.6555881,108,Census Tract 108,-079.9009570,010800,G5020,17230052,0003000000000000096c
326.98545454545456,54061011000,530436,54,061,S,+39.5990292,110,Census Tract 110,-079.9586966,011000,G5020,9502325,00030000000000000973
313.05522208883554,54061011100,593963,54,061,S,+39.6156388,111,Census Tract 111,-079.9764770,011100,G5020,9400206,00030000000000000978
301.65110565110564,54061011200,161636,54,061,S,+39.6445036,112,Census Tract 112,-079.9951809,011200,G5020,4808461,00030000000000000975
360.59851787271134,54061011300,1554095,54,061,S,+39.6072799,113,Census Tract 113,-080.0787580,011300,G5020,109343716,0003000000000000096f
387.8309389671361,54061011400,415781,54,061,S,+39.6580487,114,Census Tract 114,-080.2771684,011400,G5020,257071332,00030000000000000972
358.58098431976805,54061011500,1486058,54,061,S,+39.6874176,115,Census Tract 115,-080.0495492,011500,G5020,132532673,0003000000000000096d
469.967628312647,54061011700,3735448,54,061,S,+39.6763819,117,Census Tract 117,-079.8009204,011700,G5020,68278035,00030000000000000977
424.2876429092678,54061011900,1528152,54,061,S,+39.5211451,119,Census Tract 119,-079.9885861,011900,G5020,97940986,00030000000000000970
305.90733590733595,54061012000,11054,54,061,S,+39.6586416,120,Census Tract 120,-079.9666882,012000,G5020,3117897,00030000000000000985
229.40810810810808,54051020200,1172281,54,051,S,+39.9200350,202,Census Tract 202,-080.7487875,020200,G5020,3249835,0003000000000000097e
276.11940298507466,54051020500,1458880,54,051,S,+40.0131363,205,Census Tract 205,-080.7351647,020500,G5020,1816872,00030000000000000979
336.8810240963856,54029020600,3318,54,029,S,+40.4228722,206,Census Tract 206,-080.5407235,020600,G5020,7928471,000300000000000009ab
337.94728434504793,54029020700,0,54,029,S,+40.4078221,207,Census Tract 207,-080.5512192,020700,G5020,7201889,0003000000000000098c
367.20290359036767,54051020800,2037697,54,051,S,+39.8494275,208,Census Tract 208,-080.5976061,020800,G5020,412047901,0003000000000000097b
