mean,GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
174.82291666666666,01103000100,1201399,01,103,S,+34.5975541,1,Census Tract 1,-086.9613222,000100,G5020,5107164,000400000000000006b3
173.7903645833333,01103000200,3174954,01,103,S,+34.5780062,2,Census Tract 2,-086.9405608,000200,G5020,6694884,000400000000000006f7
178.07252747252747,01103000300,73909,01,103,S,+34.5712507,3,Census Tract 3,-086.9706149,000300,G5020,5714767,000400000000000006a3
174.8661257606491,01103000400,1461367,01,103,S,+34.6096225,4,Census Tract 4,-086.9856810,000400,G5020,4992470,000400000000000006a4
178.28275862068963,01103000600,107171,01,103,S,+34.6093151,6,Census Tract 6,-087.0204703,000600,G5020,5756580,000400000000000006a5
181.61100917431196,01103000700,5220,01,103,S,+34.5982281,7,Census Tract 7,-087.0103875,000700,G5020,6610454,000400000000000006a6
180.0648648648649,01103000800,0,01,103,S,+34.5819481,8,Census Tract 8,-086.9944640,000800,G5020,2544430,000400000000000006a7
182.15406162464987,01103000900,105981,01,103,S,+34.5686315,9,Census Tract 9,-086.9965916,000900,G5020,4371976,000400000000000006a8
205.56172839506172,01089001000,0,01,089,S,+34.7422454,10,Census Tract 10,-086.5731180,001000,G5020,2325388,000400000000000006a1
185.84018264840185,01103001000,7049,01,103,S,+34.5854740,10,Census Tract 10,-087.0065651,001000,G5020,3049074,000400000000000006a9
195.2222222222222,01089001200,7983,01,089,S,+34.7332961,12,Census Tract 12,-086.6065569,001200,G5020,2753325,000400000000000006ce
205.9765625,01089001500,28554,01,089,S,+34.7278559,15,Census Tract 15,-086.6288587,001500,G5020,4941607,0004000000000000064f
214.9345238095238,01089001700,0,01,089,S,+34.7273223,17,Census Tract 17,-086.5673746,001700,G5020,2120096,00040000000000000650
190.17391304347825,01089002000,0,01,089,S,+34.7119195,20,Census Tract 20,-086.5826599,002000,G5020,2257781,00040000000000000652
190.3971119133574,01089002100,40240,01,089,S,+34.7175673,21,Census Tract 21,-086.6067012,002100,G5020,3376640,00040000000000000656
197.00787401574803,01089002200,0,01,089,S,+34.7165386,22,Census Tract 22,-086.6299005,002200,G5020,1575713,000400000000000006ea
192.15957446808508,01089002300,0,01,089,S,+34.7055173,23,Census Tract 23,-086.6182384,002300,G5020,2633778,00040000000000000657
186.2590909090909,01089002400,25167,01,089,S,+34.6875780,24,Census Tract 24,-086.6143776,002400,G5020,2630020,00040000000000000658
199.1656441717791,01089002600,0,01,089,S,+34.6915398,26,Census Tract 26,-086.5750836,002600,G5020,4129650,0004000000000000065d
199.19551282051282,01089003000,4747,01,089,S,+34.7526124,30,Census Tract 30,-086.5873787,003000,G5020,3974010,000400000000000006ab
192.30199430199428,01089003100,50648,01,089,S,+34.7293592,31,Census Tract 31,-086.5867817,003100,G5020,4284351,000400000000000006ac
247.44060168186653,01089010200,579323,01,089,S,+34.7827440,102,Census Tract 102,-086.4057661,010200,G5020,108073676,00040000000000000681
