mean,GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
250.64655925827392,26083000100,254316523,26,083,S,+47.3653720,1,Census Tract 1,-088.0630488,000100,G5020,864755073,00000000000000000456
466.2573583163404,26071000100,43832928,26,071,S,+46.2509185,1,Census Tract 1,-088.3125287,000100,G5020,1085060619,0000000000000000046e
403.6271169280614,26013000100,85290785,26,013,S,+46.7423282,1,Census Tract 1,-088.2372940,000100,G5020,1083261692,00000000000000000472
231.75302077026353,26061000100,39632580,26,061,S,+47.1609718,1,Census Tract 1,-088.3991308,000100,G5020,365341383,0000000000000000049b
238.76705589084224,26001000100,36715247,26,001,S,+44.7999576,1,Census Tract 1,-083.4969141,000100,G5020,132918717,000000000000000004bd
183.2798353909465,26103000100,1456309,26,103,S,+46.5437731,1,Census Tract 1,-087.3862827,000100,G5020,921868,000000000000000004c5
224.9824978404284,26153000100,85357776,26,153,S,+46.1745640,1,Census Tract 1,-086.0546330,000100,G5020,1886365951,000000000000000004ec
258.4491849286437,26003000100,116369365,26,003,S,+46.5372692,1,Census Tract 1,-086.2385380,000100,G5020,968370300,00000000000000000511
322.5787624438805,26029000100,3101467,26,029,S,+45.1931492,1,Census Tract 1,-084.8048378,000100,G5020,223428367,0000000000000000051a
490.02534253319317,26071000200,40896358,26,071,S,+46.2549894,2,Census Tract 2,-088.7524067,000200,G5020,1392254790,0000000000000000046c
406.06026539190634,26013000200,64224556,26,013,S,+46.6032533,2,Census Tract 2,-088.4835894,000200,G5020,1243653386,00000000000000000471
314.0277920741121,26061000200,69487,26,061,S,+47.2493378,2,Census Tract 2,-088.4147061,000200,G5020,20498112,0000000000000000049d
238.94123349085177,26029000200,5382779,26,029,S,+45.2479428,2,Census Tract 2,-084.8930770,000200,G5020,86092563,000000000000000004a2
222.01365994910103,26153000200,82320072,26,153,S,+46.1072167,2,Census Tract 2,-086.4022607,000200,G5020,1129102884,000000000000000004ed
219.00512295081964,26007000200,10587868,26,007,S,+45.0292674,2,Census Tract 2,-083.5887361,000200,G5020,388921680,000000000000000004f5
238.375336343321,26003000200,140595897,26,003,S,+46.4275260,2,Census Tract 2,-086.9937754,000200,G5020,570299304,00000000000000000512
183.76,26103000200,1406655,26,103,S,+46.5557124,2,Census Tract 2,-087.3775169,000200,G5020,940445,00000000000000000516
