mean,GEOID,AWATER,STATEFP,COUNTYFP,FUNCSTAT,INTPTLAT,NAME,NAMELSAD,INTPTLON,TRACTCE,MTFCC,ALAND,system:index
1173.8890977443614,56033000100,0,56,033,S,+44.7665479,1,Census Tract 1,-106.9504540,000100,G5020,11975475,000000000000000011ec
1604.6418760344657,56043000200,9728956,56,043,S,+43.8788305,2,Census Tract 2,-107.6690520,000200,G5020,5780730055,000000000000000011e4
1167.805031446541,56033000200,0,56,033,S,+44.7895424,2,Census Tract 2,-106.9650135,000200,G5020,3519816,000000000000000011ed
1384.0920115014376,56005000200,111078,56,005,S,+44.2622761,2,Census Tract 2,-105.4045602,000200,G5020,89480686,000000000000000011f2
1164.921375921376,56033000300,0,56,033,S,+44.8014066,3,Census Tract 3,-106.9641405,000300,G5020,4404199,000000000000000011e9
1370.2804770318016,56005000300,350766,56,005,S,+44.2821673,3,Census Tract 3,-105.4382482,000300,G5020,25070675,000000000000000011f0
1163.8833333333334,56033000400,11045,56,033,S,+44.8146370,4,Census Tract 4,-106.9617626,000400,G5020,6195244,000000000000000011ea
1387.4814814814815,56005000400,0,56,005,S,+44.2863352,4,Census Tract 4,-105.4949097,000400,G5020,3686649,000000000000000011f1
2849.347873486559,56013000400,25399737,56,013,S,+43.6176438,4,Census Tract 4,-109.6728876,000400,G5020,3517434983,000000000000000011f7
1432.0102531239986,56005000500,16162,56,005,S,+44.2773092,5,Census Tract 5,-105.5628614,000500,G5020,35210188,000000000000000011ee
1989.5426226181085,56033000600,3178940,56,033,S,+44.8342288,6,Census Tract 6,-107.4379982,000600,G5020,2466240819,000000000000000011eb
1392.3792912513845,56005000600,0,56,005,S,+44.3065694,6,Census Tract 6,-105.5292553,000600,G5020,20471271,000000000000000011ef
2311.4206455557173,56035000101,12682482,56,035,S,+42.6372058,1.01,Census Tract 1.01,-110.1603831,000101,G5020,6477168532,000000000000000011f9
1437.2712722521637,56005000101,2486470,56,005,S,+43.9159304,1.01,Census Tract 1.01,-105.3272541,000101,G5020,3111468544,0000000000000000120c
1432.0500981645514,56005000102,680391,56,005,S,+44.1239197,1.02,Census Tract 1.02,-105.7760396,000102,G5020,985264762,00000000000000001210
2726.4712407825273,56035000103,88363711,56,035,S,+43.1342463,1.03,Census Tract 1.03,-109.9219784,000103,G5020,3272278978,0000000000000000120b
1540.8781860359243,56005000103,376744,56,005,S,+43.7081085,1.03,Census Tract 1.03,-105.7181658,000103,G5020,2339945718,0000000000000000120d
1238.8802395209577,56043000301,0,56,043,S,+44.0143691,3.01,Census Tract 3.01,-107.9563794,000301,G5020,1993200,00000000000000001211
1238.7167832167831,56043000302,686934,56,043,S,+44.0287706,3.02,Census Tract 3.02,-107.9507483,000302,G5020,15429216,000000000000000011e5
1258.2824374112558,56033000501,2946818,56,033,S,+44.7688660,5.01,Census Tract 5.01,-106.5348070,000501,G5020,3597101719,000000000000000011f3
1796.049640984869,56033000502,1849527,56,033,S,+44.6410492,5.02,Census Tract 5.02,-107.1064110,000502,G5020,446037803,000000000000000011f4
1259.7645575740826,56005000701,3079418,56,005,S,+44.6580082,7.01,Census Tract 7.01,-105.7917740,000701,G5020,3225676195,0000000000000000120e
1233.0342696749592,56005000702,3909398,56,005,S,+44.6173850,7.02,Census Tract 7.02,-105.3063708,000702,G5020,2601017197,0000000000000000120f
